month,mogas_92,mogas_95,gasoil_10,gasoil_500
2022-01,96.163,98.077,99.142,97.837
2022-02,108.291,110.796,110.748,110.019
2022-03,127.435,131.130,141.707,137.483
2022-04,123.503,126.924,148.803,139.458
2022-05,141.182,146.975,153.444,145.525
2022-06,148.818,155.180,176.804,168.513
2022-07,117.752,123.356,149.244,144.161
2022-08,112.375,115.875,145.783,144.613
2022-09,109.950,113.150,143.315,142.125
2022-10,107.275,110.825,140.218,139.038
2022-11,104.315,107.815,135.918,134.748
2022-12,103.030,106.480,131.472,130.302
