month,pertalite_max,pertamax_max,turbo_max,pertadex_max,dexlite_max,biosolar_max,pertalite_min,pertamax_min,turbo_min,pertadex_min,dexlite_min,biosolar_min
2022-01,12050.0,12150.0,12950.0,12500.0,12350.0,11600.0,10850.0,10950.0,11700.0,11250.0,11150.0,10400.0
2022-02,12950.0,13050.0,13550.0,13500.0,13350.0,12550.0,11650.0,11750.0,12200.0,12150.0,12000.0,11250.0
2022-03,14450.0,14550.0,15000.0,15050.0,14950.0,14150.0,13000.0,13100.0,13500.0,13550.0,13450.0,12700.0
2022-04,16950.0,17050.0,17700.0,18550.0,18300.0,17550.0,15250.0,15350.0,15950.0,16700.0,16500.0,15750.0
2022-05,16550.0,16700.0,17650.0,19350.0,18850.0,18050.0,14900.0,15000.0,15850.0,17400.0,16950.0,16200.0
2022-06,18150.0,18300.0,18900.0,20600.0,20050.0,19250.0,16350.0,16450.0,17050.0,18550.0,18050.0,17300.0
2022-07,19900.0,20000.0,21050.0,23050.0,22550.0,21800.0,17900.0,18000.0,18950.0,20750.0,20300.0,19550.0
2022-08,17550.0,17700.0,19300.0,21350.0,20900.0,20100.0,15800.0,15950.0,17350.0,19200.0,18800.0,18050.0
2022-09,16650.0,16750.0,17850.0,20850.0,20250.0,19450.0,14950.0,15050.0,16050.0,18750.0,18200.0,17450.0
2022-10,15700.0,15800.0,16600.0,20100.0,20000.0,19200.0,14100.0,14200.0,14900.0,18100.0,18000.0,17250.0
2022-11,15350.0,15450.0,16300.0,19750.0,19600.0,18800.0,13850.0,13900.0,14650.0,17750.0,17650.0,16900.0
2022-12,15000.0,15100.0,15900.0,19200.0,19100.0,18300.0,13500.0,13600.0,14350.0,17300.0,17150.0,16400.0
